,Open,High,Low,Close,Volume,compound,negative,neutral,positive
2001-05-22,0.428571,0.430893,0.417857,0.41964300000000004,412916000.0,-0.9907,0.134,0.8,0.066
2001-05-25,0.414286,0.415893,0.40178600000000003,0.406429,158743200.0,0.0772,0.0,0.606,0.394
2001-05-29,0.398571,0.40178600000000003,0.371607,0.383393,515989600.0,-0.9584,0.081,0.847,0.072
2001-05-30,0.370714,0.370714,0.344643,0.353214,777078400.0,-0.5713,0.073,0.85,0.077
2001-06-01,0.359464,0.376607,0.356786,0.37303600000000003,456075200.0,0.0,0.0,1.0,0.0
2001-06-04,0.376429,0.37696399999999997,0.36535700000000004,0.368929,281920800.0,0.0,0.0,1.0,0.0
2001-06-05,0.371429,0.376786,0.36339299999999997,0.373929,471794400.0,0.25,0.4,0.0,0.6
2001-06-07,0.369821,0.3875,0.365179,0.386786,325180800.0,0.0,0.0,1.0,0.0
2001-06-20,0.357143,0.390179,0.356786,0.386964,431620000.0,-0.9976,0.135,0.789,0.075
2001-06-21,0.384821,0.410714,0.376786,0.401607,341331200.0,-0.9179,0.157,0.738,0.105
2001-06-22,0.401429,0.410714,0.388571,0.3975,286025600.0,-0.9287,0.102,0.84,0.058
2001-06-25,0.40178600000000003,0.428571,0.400893,0.428393,439549600.0,0.9668,0.073,0.806,0.121
2001-06-26,0.416786,0.424464,0.410893,0.42410699999999996,272781600.0,0.9444,0.074,0.805,0.121
2001-06-27,0.42553599999999997,0.428571,0.40178600000000003,0.416786,374130400.0,-0.9927,0.142,0.783,0.076
2001-06-28,0.41160699999999995,0.426964,0.40964300000000003,0.420357,348409600.0,-0.9031,0.097,0.831,0.072
2001-06-29,0.4225,0.44821400000000006,0.414286,0.415179,515390400.0,-0.9751,0.136,0.782,0.082
2001-07-02,0.42214300000000005,0.432679,0.413214,0.42678599999999994,230048000.0,-0.5267,0.145,0.855,0.0
2001-07-03,0.419821,0.43178599999999995,0.41964300000000004,0.42571400000000004,112543200.0,-0.4767,0.188,0.626,0.186
2001-07-05,0.421429,0.424464,0.410893,0.41410699999999995,152292000.0,-0.8834,0.229,0.702,0.069
2001-07-06,0.406429,0.41,0.387857,0.393393,302920800.0,-0.34,0.061,0.939,0.0
2001-07-09,0.394464,0.410714,0.38714299999999996,0.405357,337467200.0,0.7335,0.098,0.784,0.118
2001-07-10,0.409821,0.41196400000000005,0.372143,0.3775,395270400.0,-0.9231,0.119,0.788,0.092
2001-07-11,0.37553600000000004,0.402679,0.375,0.4025,470506400.0,-0.9807,0.101,0.864,0.035
2001-07-12,0.416071,0.443036,0.416071,0.435,614801600.0,-0.967,0.136,0.826,0.037
2001-07-13,0.430893,0.446607,0.42571400000000004,0.44375,454742400.0,-0.987,0.124,0.778,0.099
2001-07-16,0.44428599999999996,0.44821400000000006,0.426964,0.427857,278667200.0,-0.9071,0.104,0.793,0.103
2001-07-17,0.42821400000000004,0.45035699999999995,0.410893,0.44821400000000006,647830400.0,-0.9991,0.16,0.756,0.083
2001-07-18,0.38892899999999997,0.40678600000000004,0.364643,0.37125,1137012800.0,-0.9958,0.115,0.816,0.069
2001-07-19,0.379107,0.3825,0.352679,0.356429,861140000.0,-0.9958,0.115,0.81,0.075
2001-07-20,0.351786,0.358214,0.348036,0.356786,444584000.0,-0.8786,0.111,0.789,0.101
2001-07-23,0.35875,0.366071,0.348393,0.348929,241360000.0,-0.998,0.138,0.812,0.05
2001-07-24,0.34625,0.355714,0.334464,0.340893,348376000.0,-0.9979,0.117,0.82,0.063
2001-07-25,0.341429,0.344643,0.320893,0.32982100000000003,443878400.0,-0.9975,0.124,0.806,0.07
2001-07-26,0.33,0.335714,0.31875,0.331964,369140800.0,-0.9997,0.177,0.739,0.084
2001-07-27,0.334821,0.34375,0.330357,0.338571,334135200.0,-0.9966,0.105,0.836,0.059
2001-07-30,0.341429,0.34571399999999997,0.330536,0.338036,243359200.0,-0.7781,0.08,0.836,0.084
2001-07-31,0.344107,0.34678600000000004,0.330536,0.335536,235026400.0,-0.9981,0.115,0.814,0.071
2001-08-01,0.339464,0.353214,0.338393,0.340357,304136000.0,-0.9992,0.138,0.818,0.044
2001-08-02,0.350893,0.354821,0.343929,0.353929,252089600.0,-0.9982,0.112,0.829,0.059
2001-08-03,0.355179,0.35535700000000003,0.33928600000000003,0.34821399999999997,186054400.0,-0.9753,0.092,0.836,0.072
2001-08-06,0.34,0.351071,0.33928600000000003,0.341607,99652000.0,-0.9969,0.107,0.82,0.073
2001-08-07,0.345179,0.35125,0.338929,0.34375,168548800.0,-0.9983,0.109,0.829,0.061
2001-08-08,0.343929,0.351786,0.331071,0.3375,276169600.0,-0.9981,0.116,0.809,0.075
2001-08-09,0.338571,0.341964,0.334286,0.340179,200664800.0,-0.9836,0.08,0.858,0.062
2001-08-10,0.34,0.345,0.331964,0.339643,186961600.0,-0.9979,0.101,0.84,0.058
2001-08-13,0.341071,0.345179,0.335,0.340893,147996800.0,-0.9988,0.133,0.788,0.079
2001-08-14,0.342857,0.34571399999999997,0.333393,0.334464,228950400.0,-0.9862,0.101,0.824,0.076
2001-08-15,0.335,0.338214,0.325,0.329286,289279200.0,-0.9964,0.111,0.809,0.079
2001-08-16,0.32625,0.334821,0.320893,0.333036,288092000.0,-0.9747,0.081,0.856,0.063
2001-08-17,0.321429,0.329464,0.32125,0.322679,208426400.0,-0.9963,0.106,0.811,0.083
2001-08-20,0.323929,0.325536,0.318036,0.323571,252302400.0,-0.9023,0.111,0.772,0.116
2001-08-21,0.323929,0.323929,0.316071,0.32,185701600.0,-0.9984,0.121,0.791,0.087
2001-08-22,0.320357,0.325893,0.31446399999999997,0.325179,173975200.0,-0.9961,0.115,0.805,0.08
2001-08-23,0.325,0.3275,0.313929,0.318036,217078400.0,-0.9994,0.138,0.775,0.087
2001-08-24,0.321429,0.3325,0.315179,0.33160700000000004,290332000.0,-0.9981,0.121,0.788,0.09
2001-08-27,0.33214299999999997,0.344643,0.324286,0.337857,175644000.0,-0.9972,0.113,0.808,0.079
2001-08-28,0.3375,0.34178600000000003,0.328571,0.328571,171735200.0,-0.9985,0.112,0.816,0.072
2001-08-29,0.329286,0.33625,0.318393,0.318393,239971200.0,-0.9997,0.161,0.746,0.093
2001-08-30,0.316786,0.32464299999999996,0.308571,0.318393,368692800.0,-0.9835,0.075,0.864,0.061
2001-08-31,0.316607,0.33214299999999997,0.315179,0.33125,216904800.0,-0.9974,0.117,0.803,0.08
2001-09-04,0.330357,0.34071399999999996,0.32464299999999996,0.325893,348213600.0,-0.92,0.093,0.819,0.089
2001-09-05,0.325714,0.338393,0.323571,0.33125,360057600.0,-0.9989,0.131,0.784,0.085
2001-09-06,0.328571,0.338036,0.315179,0.316429,282368800.0,-0.9681,0.084,0.839,0.077
2001-09-07,0.3125,0.323214,0.307143,0.308571,241830400.0,-0.9993,0.143,0.78,0.078
2001-09-10,0.303571,0.3125,0.302143,0.310179,308845600.0,-0.9973,0.117,0.814,0.069
2001-09-17,0.28571399999999997,0.304821,0.280893,0.30339299999999997,458007200.0,-0.999,0.16,0.747,0.093
2001-09-18,0.301786,0.316429,0.28875,0.290714,327101600.0,-0.8698,0.102,0.8,0.097
2001-09-19,0.294643,0.305357,0.278571,0.303929,373318400.0,-0.9975,0.097,0.842,0.061
2001-09-20,0.29089299999999996,0.302679,0.27678600000000003,0.28,411174400.0,-0.9969,0.099,0.831,0.069
2001-09-21,0.264286,0.290179,0.26214299999999996,0.280893,570516800.0,-0.9945,0.097,0.846,0.057
2001-09-24,0.287679,0.300714,0.284821,0.29375,294537600.0,-0.9985,0.141,0.77,0.09
2001-09-25,0.28821399999999997,0.289643,0.274107,0.2775,374404800.0,-0.9986,0.122,0.801,0.078
2001-09-26,0.282321,0.28375,0.26660700000000004,0.270536,493796800.0,-0.9982,0.143,0.749,0.108
2001-09-27,0.272321,0.28125,0.271429,0.276964,322240800.0,-0.9983,0.128,0.818,0.055
2001-09-28,0.280536,0.284107,0.274821,0.276964,365108800.0,-0.9964,0.096,0.839,0.065
2001-10-01,0.276607,0.285536,0.271964,0.2775,208208000.0,-0.999,0.169,0.771,0.06
2001-10-02,0.275536,0.282679,0.265714,0.26875,235883200.0,-0.9989,0.132,0.807,0.06
2001-10-03,0.266964,0.27428600000000003,0.26482100000000003,0.2675,683043200.0,-0.9843,0.093,0.829,0.078
2001-10-04,0.274107,0.290179,0.267679,0.283571,401122400.0,-0.9676,0.098,0.817,0.085
2001-10-05,0.275,0.288393,0.267679,0.28821399999999997,342686400.0,-0.9948,0.117,0.795,0.088
2001-10-08,0.278036,0.291964,0.27678600000000003,0.289286,207984000.0,-0.9958,0.139,0.756,0.105
2001-10-09,0.286607,0.289286,0.279107,0.28571399999999997,174025600.0,-0.9985,0.16,0.769,0.071
2001-10-10,0.2875,0.30089299999999997,0.284821,0.30035700000000004,307759200.0,-0.9988,0.14,0.775,0.086
2001-10-11,0.302143,0.316786,0.30089299999999997,0.316786,334163200.0,-0.9745,0.074,0.878,0.048
2001-10-12,0.309107,0.322857,0.301071,0.32160700000000003,287812000.0,-0.9987,0.153,0.797,0.05
2001-10-15,0.320536,0.328214,0.320536,0.32125,318752000.0,-0.9981,0.146,0.782,0.072
2001-10-16,0.323036,0.325,0.317321,0.32160700000000003,202949600.0,-0.9981,0.123,0.817,0.06
2001-10-17,0.3275,0.32875,0.30285700000000004,0.30339299999999997,285538400.0,-0.9981,0.129,0.814,0.057
2001-10-18,0.30875,0.325536,0.30875,0.321429,612572800.0,-0.9973,0.119,0.816,0.066
2001-10-19,0.320357,0.328571,0.319286,0.326786,166790400.0,-0.998,0.128,0.817,0.055
2001-10-22,0.325179,0.340536,0.323036,0.339643,391938400.0,-0.9975,0.141,0.777,0.082
2001-10-23,0.341429,0.34678600000000004,0.31910700000000003,0.323929,684980800.0,-0.9993,0.164,0.766,0.07
2001-10-24,0.3225,0.340893,0.31696399999999997,0.338393,374427200.0,-0.9955,0.137,0.783,0.08
2001-10-25,0.329286,0.34375,0.324286,0.342679,254951200.0,-0.9974,0.148,0.769,0.083
2001-10-26,0.33678600000000003,0.34375,0.3325,0.333393,278964000.0,-0.993,0.102,0.833,0.065
2001-10-29,0.33160700000000004,0.333393,0.314286,0.314821,239181600.0,-0.9992,0.16,0.772,0.068
2001-10-30,0.310357,0.321429,0.304643,0.314286,276763200.0,-0.9996,0.161,0.768,0.072
2001-10-31,0.316607,0.328571,0.311429,0.313571,273750400.0,-0.9973,0.128,0.807,0.065
2001-11-01,0.315179,0.335357,0.30803600000000003,0.331964,312995200.0,-0.971,0.077,0.859,0.064
2001-11-02,0.330714,0.33678600000000003,0.324286,0.33160700000000004,197204000.0,-0.9848,0.08,0.866,0.053
2001-11-05,0.336429,0.34375,0.332321,0.340536,235793600.0,-0.9387,0.089,0.837,0.073
2001-11-06,0.338571,0.35035700000000003,0.330893,0.349464,316019200.0,-0.9983,0.142,0.79,0.067
2001-11-07,0.3475,0.359464,0.345179,0.349821,382989600.0,-0.9991,0.14,0.802,0.058
2001-11-08,0.350536,0.355179,0.33160700000000004,0.33410700000000004,342143200.0,-0.9988,0.133,0.798,0.069
2001-11-09,0.33214299999999997,0.34375,0.33125,0.33410700000000004,134293600.0,-0.9051,0.088,0.827,0.084
2001-11-12,0.333214,0.342321,0.320714,0.334821,201499200.0,-0.9968,0.122,0.8,0.078
2001-11-13,0.34071399999999996,0.34625,0.33410700000000004,0.345893,224672000.0,-0.9827,0.097,0.825,0.079
2001-11-14,0.349821,0.35535700000000003,0.341964,0.350179,221149600.0,-0.7652,0.13,0.745,0.125
2001-11-15,0.347321,0.35535700000000003,0.343393,0.347321,213029600.0,-0.957,0.101,0.834,0.065
2001-11-16,0.344107,0.344464,0.328571,0.33875,230664000.0,-0.9953,0.111,0.815,0.074
2001-11-19,0.33928600000000003,0.358036,0.338571,0.357143,332589600.0,-0.9976,0.15,0.775,0.075
2001-11-20,0.353929,0.360714,0.34821399999999997,0.34875,276584000.0,-0.9986,0.13,0.799,0.07
2001-11-21,0.350179,0.353571,0.343929,0.351429,201583200.0,-0.9971,0.098,0.843,0.059
2001-11-23,0.351964,0.35625,0.349464,0.354286,60004000.0,-0.9898,0.106,0.818,0.076
2001-11-26,0.356071,0.384821,0.355,0.38160700000000003,460689600.0,-0.9951,0.106,0.83,0.064
2001-11-27,0.378571,0.384286,0.366071,0.375,268553600.0,-0.998,0.127,0.783,0.09
2001-11-28,0.372321,0.37875,0.364464,0.366607,250611200.0,-0.9976,0.124,0.809,0.067
2001-11-29,0.367857,0.369643,0.360536,0.364643,202764800.0,-0.9976,0.118,0.819,0.063
2001-11-30,0.365536,0.382857,0.361607,0.380357,303912000.0,-0.9993,0.142,0.78,0.078
2001-12-03,0.376071,0.38,0.367857,0.375893,181165600.0,-0.999,0.175,0.724,0.101
2001-12-04,0.375893,0.402857,0.37,0.4,380419200.0,-0.9743,0.068,0.871,0.06
2001-12-05,0.39928600000000003,0.42910699999999996,0.395893,0.42428599999999994,568579200.0,-0.9934,0.122,0.789,0.089
2001-12-06,0.419286,0.41964300000000004,0.395357,0.40678600000000004,338934400.0,-0.9983,0.115,0.797,0.088
2001-12-07,0.401071,0.405536,0.392857,0.4025,203515200.0,-0.9973,0.11,0.825,0.065
2001-12-10,0.398036,0.41053599999999996,0.396964,0.4025,170010400.0,-0.9978,0.129,0.794,0.077
2001-12-11,0.404821,0.408036,0.38660700000000003,0.38892899999999997,205475200.0,-0.9959,0.113,0.803,0.083
2001-12-12,0.390536,0.39142899999999997,0.37946399999999997,0.38375,192460800.0,-0.9925,0.098,0.848,0.055
2001-12-13,0.38375,0.384821,0.366071,0.375,197842400.0,-0.9986,0.145,0.767,0.087
2001-12-14,0.370179,0.37196399999999996,0.35875,0.364107,189884800.0,-0.9986,0.162,0.728,0.11
2001-12-17,0.364286,0.375,0.360536,0.368214,173712000.0,-0.9864,0.115,0.8,0.085
